franchise,name,role,alloc_mpg,a,expected_team_game_minutes,expected_gp,gp_lo,gp_hi,high_uncertainty,pid,key
ATL,Nickeil Alexander-Walker,starter,33.8,0.9072135463491178,30.663817866600176,72.0,62.0,79.0,True,1629638.0,1629638
ATL,Dyson Daniels,starter,35.2,0.866532502672046,30.50194409405602,69.0,60.0,77.0,True,1630700.0,1630700
ATL,Onyeka Okongwu,starter,32.2,0.8404999715320912,27.06409908333334,68.0,58.0,76.0,True,1630168.0,1630168
ATL,Jalen Johnson,starter,36.0,0.6819182503335618,24.549057012008223,62.0,50.0,74.0,True,1630552.0,1630552
ATL,CJ McCollum,starter,28.2,0.8301161211470051,23.40927461634554,65.0,54.0,75.0,True,203468.0,203468
ATL,Zaccharie Risacher,rotation,24.4,0.857245337159254,20.916786226685797,62.0,50.0,74.0,True,1642258.0,1642258
ATL,Aaron Wiggins,rotation,23.1,0.8410290368004112,19.4277707500895,63.0,50.0,74.0,True,1630598.0,1630598
ATL,Jock Landale,rotation,22.4,0.7104421858605013,15.913904963275229,63.0,50.0,74.0,True,1629111.0,1629111
ATL,Kingston Flemings,rotation,21.5,0.72,15.479999999999999,63.0,49.0,73.0,True,,name::ATL::kingston flemings
ATL,Mouhamed Gueye,rotation,17.8,0.573783272079296,10.21334224301147,61.0,48.0,73.0,True,1631243.0,1631243
ATL,Devin Carter,deep,20.9,0.35,7.314999999999999,50.0,33.0,68.0,True,1642269.0,1642269
ATL,Corey Kispert,deep,20.6,0.22400000000000003,4.614400000000001,42.0,24.0,60.0,True,1630557.0,1630557
ATL,Buddy Hield,deep,16.5,0.17920000000000003,2.9568000000000003,30.0,14.0,48.0,True,1627741.0,1627741
ATL,RayJ Dennis,deep,14.6,0.14336000000000002,2.0930560000000002,22.0,10.0,36.0,True,1642484.0,1642484
ATL,Asa Newell,deep,14.4,0.11468800000000003,1.6515072000000004,18.0,8.0,30.0,True,1642854.0,1642854
ATL,Zuby Ejiofor,deep,12.7,0.09175040000000002,1.1652300800000002,16.0,6.0,28.0,False,,name::ATL::zuby ejiofor
ATL,Keshon Gilbert,deep,20.7,0.05,1.035,14.0,5.0,25.0,True,1642933.0,1642933
ATL,Henri Veesaar,deep,12.7,0.08,1.016,15.0,6.0,26.0,True,,name::ATL::henri veesaar
BKN,Julius Randle,starter,35.8,0.8620306948301196,30.86069887491828,67.0,58.0,76.0,True,203944.0,203944
BKN,Mikel Brown Jr.,starter,32.4,0.85,27.54,68.0,58.0,76.0,True,,name::BKN::mikel brown jr.
BKN,Michael Porter Jr.,starter,36.1,0.7498783903516568,27.07060989169481,62.0,50.0,74.0,True,1629008.0,1629008
BKN,Terance Mann,rotation,27.8,0.8471549086357391,23.550906460073545,64.0,51.0,75.0,True,1629611.0,1629611
BKN,Keon Ellis,rotation,26.0,0.7706806736444782,20.037697514756434,67.0,56.0,76.0,True,1631165.0,1631165
BKN,Noah Clowney,rotation,30.6,0.6095890410958904,18.65342465753425,60.0,46.0,72.0,True,1641730.0,1641730
BKN,Egor Dёmin,starter,28.4,0.6341463414634146,18.009756097560974,57.0,44.0,70.0,True,1642856.0,1642856
BKN,Nolan Traoré,rotation,26.0,0.6829268292682927,17.75609756097561,58.0,43.0,72.0,True,1642849.0,1642849
BKN,Day'Ron Sharpe,starter,24.0,0.6650533742725189,15.961280982540453,62.0,51.0,74.0,True,1630549.0,1630549
BKN,Moritz Wagner,rotation,16.0,0.5806479912699004,9.290367860318407,49.0,32.0,66.0,True,1629021.0,1629021
BKN,Ben Saraf,deep,25.1,0.35,8.785,53.0,36.0,68.0,True,1642879.0,1642879
BKN,Danny Wolf,deep,24.6,0.27999999999999997,6.888,55.0,40.0,70.0,True,1642874.0,1642874
BKN,Drake Powell,deep,24.2,0.22400000000000003,5.420800000000001,46.0,29.0,63.0,True,1642962.0,1642962
BKN,Chaney Johnson,deep,23.8,0.17920000000000003,4.26496,28.0,13.0,44.0,True,1643052.0,1643052
BKN,Josh Minott,deep,21.1,0.14336000000000002,3.0248960000000005,23.0,11.0,37.0,True,1631169.0,1631169
BKN,Joshua Jefferson,deep,14.0,0.11468800000000003,1.6056320000000004,17.0,7.0,29.0,True,,name::BKN::joshua jefferson
BKN,Tyler Bilodeau,deep,14.0,0.09175040000000002,1.2845056000000004,16.0,7.0,28.0,True,,name::BKN::tyler bilodeau
BOS,Derrick White,starter,38.5,0.8957529245571602,34.48648759545067,70.0,60.0,78.0,True,1628401.0,1628401
BOS,Payton Pritchard,starter,37.0,0.920193251572182,34.047150308170735,73.0,64.0,80.0,True,1630202.0,1630202
BOS,Sam Hauser,rotation,30.2,0.8806234503782419,26.594828201422903,70.0,59.0,79.0,True,1630573.0,1630573
BOS,Jayson Tatum,starter,36.9,0.6829111497431729,25.19942142552308,61.0,49.0,73.0,True,1628369.0,1628369
BOS,Paul George,starter,32.7,0.6047819290266166,19.776369079170365,50.0,36.0,63.0,True,202331.0,202331
BOS,Neemias Queta,starter,30.7,0.6091911645063947,18.702168750346317,70.0,61.0,78.0,True,1629674.0,1629674
BOS,Hugo González,rotation,19.0,0.8902439024390244,16.914634146341463,66.0,54.0,76.0,True,1642864.0,1642864
BOS,Jordan Walsh,rotation,23.3,0.6059137988640161,14.117791513531575,65.0,54.0,75.0,True,1641775.0,1641775
