player,team,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov
Aaron Wiggins,ATL,50.0,24.2,0.463,,0.729,,0.8,8.3,3.6,1.4,0.6,0.2,1.1
Asa Newell,ATL,44.0,11.4,0.538,,0.552,,0.7,5.2,2.2,0.6,0.4,0.3,0.5
Buddy Hield,ATL,82.0,23.0,0.426,,0.842,,1.8,10.6,3.3,1.5,0.5,0.1,1.2
CJ McCollum,ATL,38.0,12.5,0.416,,0.676,,0.8,5.3,1.3,0.7,0.4,0.1,0.9
Corey Kispert,ATL,77.0,23.4,0.455,,0.871,,1.5,8.2,2.7,1.1,0.5,0.3,0.6
Devin Carter,ATL,36.0,11.0,0.37,,0.591,,0.5,3.8,2.1,1.1,0.6,0.1,0.5
Dyson Daniels,ATL,59.0,17.7,0.418,,0.65,,0.5,3.8,3.2,2.3,0.7,0.2,1.0
Isaac McKneely,ATL,33.0,21.5,0.423,,0.708,,1.5,6.7,2.2,0.7,0.4,0.1,
Jacob Toppin,ATL,9.0,4.2,0.556,,0.0,,0.1,1.4,0.8,0.3,0.0,0.1,0.1
Jalen Johnson,ATL,22.0,5.5,0.537,,0.714,,0.1,2.4,1.2,0.1,0.1,0.1,0.4
Jock Landale,ATL,54.0,10.9,0.495,,0.829,,0.5,4.9,2.6,0.8,0.2,0.3,0.6
Keshon Gilbert,ATL,3.0,16.0,0.25,,0.0,,0.0,2.0,1.7,1.0,0.7,1.3,2.0
Luguentz Dort,ATL,68.0,27.0,0.4,7.8,0.76,0.9,1.9,8.6,3.6,1.2,0.9,0.3,0.8
Mouhamed Gueye,ATL,6.0,12.2,0.348,,0.833,,0.5,4.0,3.7,0.7,0.8,0.7,0.2
Nickeil Alexander-Walker,ATL,47.0,12.6,0.368,,0.676,,1.0,5.7,1.8,1.9,0.4,0.2,1.1
Onyeka Okongwu,ATL,50.0,12.0,0.644,,0.632,,0.0,4.6,3.3,0.4,0.5,0.7,0.6
RayJ Dennis,ATL,11.0,6.4,0.333,,0.0,,0.5,2.7,1.1,1.3,0.6,0.2,0.5
Ryan Nembhard,ATL,38.0,11.0,,,,,0.6,3.8,1.2,3.0,0.3,0.0,0.8
Zuby Ejiofor,ATL,25.0,5.1,0.65,,0.5,,,1.2,1.7,0.2,,0.6,
Ben Humrichous,BKN,6.0,8.0,0.43,,0.8,,0.7,3.2,1.6,0.3,0.2,0.1,0.3
Ben Saraf,BKN,45.0,12.0,0.415,,0.82,,0.5,5.0,1.5,2.5,0.7,0.1,1.3
Chaney Johnson,BKN,25.0,15.0,0.51,,0.76,,0.4,6.2,3.8,1.4,0.7,0.4,0.9
Danny Wolf,BKN,62.0,20.0,0.425,,0.78,,1.0,9.4,5.2,2.4,0.5,0.7,1.4
Day'Ron Sharpe,BKN,60.0,25.0,0.595,,0.7,,0.2,11.8,8.5,2.3,1.0,0.7,1.8
Dion Brown,BKN,6.0,8.0,0.45,,0.72,,0.2,3.3,1.8,0.8,0.3,0.1,0.4
Drake Powell,BKN,55.0,12.0,0.43,,0.85,,0.5,4.4,1.8,1.0,0.5,0.2,0.7
Duke Brennan,BKN,6.0,8.0,0.58,,0.6,,0.0,3.0,2.8,0.5,0.2,0.2,0.4
Egor Dëmin,BKN,67.0,29.0,0.42,,0.83,,2.3,13.1,3.8,4.2,1.0,0.4,2.0
Jalen Wilson,BKN,0.0,0.0,,,,,,,,,,,
Josh Minott,BKN,65.0,18.0,0.49,,0.79,,1.0,8.3,4.0,1.0,1.0,0.6,0.8
Joshua Jefferson,BKN,44.0,11.0,0.48,,0.72,,0.3,4.5,3.1,1.3,0.7,0.4,0.8
Julius Randle,BKN,70.0,31.0,0.472,,0.78,,1.5,19.8,8.5,4.7,0.7,0.3,2.9
Keon Ellis,BKN,72.0,23.0,0.47,,0.81,,1.7,9.2,3.0,1.8,1.3,0.7,0.9
Michael Porter Jr,BKN,65.0,32.0,0.462,,0.856,,3.2,22.8,6.8,2.8,0.9,0.3,2.1
Mikel Brown Jr,BKN,68.0,29.0,0.425,,0.84,,2.0,14.5,3.5,5.2,1.0,0.2,2.6
Moritz Wagner,BKN,60.0,14.0,0.545,,0.815,,0.5,7.5,3.5,1.0,0.4,0.3,0.8
Noah Clowney,BKN,62.0,17.0,0.415,,0.8,,1.3,8.4,3.8,1.1,0.6,0.6,1.0
Nolan Traoré,BKN,60.0,19.0,0.405,,0.79,,0.9,8.2,1.9,3.7,0.8,0.3,1.9
Terance Mann,BKN,62.0,17.0,0.475,,0.79,,0.7,6.5,2.7,2.2,0.6,0.2,0.8
Tyler Bilodeau,BKN,20.0,13.0,0.455,,0.82,,1.0,5.9,2.5,0.7,0.4,0.2,0.6
Amari Williams,BOS,22.0,6.6,0.5,,0.714,,0.0,1.4,1.8,0.5,0.1,0.5,0.5
Baylor Scheierman,BOS,74.0,16.0,0.45,,0.89,,1.3,5.4,2.9,1.3,0.5,0.2,0.6
Chris Cenac Jr,BOS,25.0,1.0,0.5,,0.67,,0.0,0.4,0.3,0.0,0.0,0.1,0.1
Derrick White,BOS,76.0,34.0,0.421,,0.895,,2.9,17.1,4.5,5.3,1.2,1.3,1.8
Hugo Gonzalez,BOS,76.0,16.0,0.474,,0.67,,0.6,5.4,3.7,1.0,0.7,0.3,0.6
Jayson Tatum,BOS,65.0,34.0,0.457,,0.852,,3.1,27.0,8.7,5.8,1.1,0.6,3.0
Jordan Walsh,BOS,55.0,7.0,0.5,,0.76,,0.3,2.1,1.6,0.3,0.3,0.2,0.3
Luka Garza,BOS,35.0,2.0,0.56,,0.76,,0.1,1.0,0.5,0.1,0.1,0.1,0.1
Mike Conley,BOS,52.0,8.0,0.38,,0.9,,0.4,2.0,0.7,1.3,0.3,0.0,0.3
Mitchell Robinson,BOS,58.0,20.0,0.71,,0.42,,0.0,5.9,8.9,0.7,0.9,1.2,0.7
Neemias Queta,BOS,72.0,21.0,0.65,,0.71,,0.0,8.3,6.8,1.3,0.6,1.1,0.8
Paul George,BOS,55.0,27.0,0.445,,0.87,,2.3,16.5,4.8,3.5,1.4,0.5,2.1
Payton Pritchard,BOS,78.0,32.0,0.468,,0.889,,3.2,21.1,4.5,6.3,0.9,0.1,1.9
Ron Harper Jr,BOS,50.0,3.0,0.425,,0.77,,0.3,1.1,0.5,0.2,0.1,0.1,0.1
Sam Hauser,BOS,70.0,19.0,0.43,,0.87,,2.0,7.3,3.0,1.1,0.5,0.2,0.5
Tucker DeVries,BOS,36.0,29.8,0.416,,0.775,,,13.9,4.6,2.1,1.0,0.8,1.4
Brandon Miller,CHA,50.0,32.5,0.445,,0.89,,3.5,23.4,5.3,4.1,1.0,0.7,2.8
Christian Anderson Jr,CHA,60.0,12.0,0.41,,0.845,,1.1,6.2,1.4,2.4,0.6,0.1,1.0
Coby White,CHA,60.0,31.5,0.445,,0.84,,3.0,21.4,4.0,5.5,0.8,0.2,2.7
Dorian Finney-Smith,CHA,50.0,17.0,0.39,,0.75,,1.0,4.7,2.9,1.2,0.5,0.2,0.7
Grant Williams,CHA,50.0,12.0,0.43,,0.805,,0.9,5.0,2.8,1.1,0.4,0.3,0.6
Grayson Allen,CHA,58.0,22.0,0.415,,0.855,,2.3,12.3,2.7,2.8,0.9,0.2,1.3
Hannes Steinbach,CHA,70.0,18.0,0.52,,0.755,,0.5,8.8,6.2,1.3,0.6,0.6,1.3
Kon Knueppel,CHA,78.0,33.5,0.468,,0.868,,3.8,21.5,5.6,4.5,0.8,0.2,2.4
