player,team,pos,bye,adp,adp_source,proj_points,games,archetype,risk,note
Bijan Robinson,ATL,RB,11,1.7,ffcalc-ppr-12tm-2026-07-25,366.9,17,three-down bell cow,low,three-down bell cow; 280 carries + 84 catches projected
Jahmyr Gibbs,DET,RB,6,1.8,ffcalc-ppr-12tm-2026-07-25,367.4,17,three-down bell cow,med,three-down bell cow; 279 carries + 72 catches projected
Puka Nacua,LAR,WR,11,2.7,ffcalc-ppr-12tm-2026-07-25,339.3,17,alpha X,low,alpha X; 116 catches for 1561 yards projected
Ja'Marr Chase,CIN,WR,6,4.0,ffcalc-ppr-12tm-2026-07-25,330.5,17,alpha X,low,alpha X; 116 catches for 1474 yards projected
Christian McCaffrey,SF,RB,8,4.9,ffcalc-ppr-12tm-2026-07-25,345.9,17,three-down bell cow,low,three-down bell cow; 279 carries + 82 catches projected
Jaxon Smith-Njigba,SEA,WR,11,6.0,ffcalc-ppr-12tm-2026-07-25,308.1,17,alpha X,low,alpha X; 105 catches for 1521 yards projected
Amon-Ra St. Brown,DET,WR,6,7.3,ffcalc-ppr-12tm-2026-07-25,318.1,17,alpha X,low,alpha X; 119 catches for 1377 yards projected
Jonathan Taylor,IND,RB,13,7.5,ffcalc-ppr-12tm-2026-07-25,286.5,17,three-down bell cow,low,three-down bell cow; 299 carries + 36 catches projected
De'Von Achane,MIA,RB,6,9.6,ffcalc-ppr-12tm-2026-07-25,267.2,17,early-down committee back,low,early-down committee back; 228 carries + 56 catches projected
CeeDee Lamb,DAL,WR,14,10.9,ffcalc-ppr-12tm-2026-07-25,252.7,17,alpha X,low,alpha X; 87 catches for 1177 yards projected
Justin Jefferson,MIN,WR,6,11.0,ffcalc-ppr-12tm-2026-07-25,265.8,17,alpha X,low,alpha X; 95 catches for 1288 yards projected
Ashton Jeanty,LV,RB,13,11.8,ffcalc-ppr-12tm-2026-07-25,264.3,17,three-down bell cow,low,three-down bell cow; 271 carries + 56 catches projected
Drake London,ATL,WR,11,12.5,ffcalc-ppr-12tm-2026-07-25,272.2,17,alpha X,low,alpha X; 99 catches for 1312 yards projected
James Cook,BUF,RB,7,13.3,ffcalc-ppr-12tm-2026-07-25,275.2,17,three-down bell cow,low,three-down bell cow; 275 carries + 32 catches projected
