espn_rank,espn_total_rank,player,team,gp,mpg,espn_fp_per_game,espn_season_fp,cat_rank,cat_total_rank,delta_vs_cat,fga,fta,shot_event_net,volume_source
1,1,Nikola Jokić,DEN,66,35.0,64.7,4269,2,3,1,17.1,7.1,+2.4,stated
2,2,Victor Wembanyama,SAS,68,31.0,58.8,3997,1,1,-1,17.8,7.4,+0.5,recovered
3,4,Luka Dončić,LAL,66,34.0,58.6,3870,5,4,2,21.8,9.0,-0.9,stated
4,3,Shai Gilgeous-Alexander,OKC,70,33.0,55.3,3871,3,2,-1,19.6,8.8,+2.0,stated
5,8,Giannis Antetokounmpo,MIA,60,32.0,52.7,3165,63,85,58,15.4,11.0,+3.2,recovered
6,6,Cade Cunningham,DET,66,34.0,50.9,3360,11,18,5,18.9,6.0,-1.4,recovered
7,10,Jayson Tatum,BOS,65,34.0,48.6,3159,7,16,0,21.4,5.1,-1.8,recovered
8,7,Cooper Flagg,DAL,72,36.0,46.6,3352,9,7,1,19.2,5.7,-0.6,stated
9,9,Tyrese Maxey,PHI,68,34.0,46.5,3165,6,5,-3,19.5,5.4,-1.4,recovered
10,5,Scottie Barnes,TOR,74,34.0,46.3,3423,12,6,2,16.0,3.8,+0.0,recovered
11,28,Kawhi Leonard,LAC,60,32.0,45.7,2740,4,8,-7,17.8,6.4,+0.0,recovered
12,12,Anthony Edwards,MIN,68,35.0,45.0,3058,13,13,1,19.1,7.2,-0.8,recovered
13,16,Tyrese Haliburton,IND,66,32.0,44.9,2960,14,21,1,13.9,3.2,-0.8,estimated
14,17,Jamal Murray,DEN,66,35.0,44.7,2952,16,19,2,17.6,5.0,-0.9,stated
15,11,Donovan Mitchell,CLE,70,33.0,44.0,3079,15,10,0,19.6,6.0,-1.2,recovered
16,18,Evan Mobley,CLE,68,34.0,43.3,2946,27,28,11,13.5,4.9,+1.3,recovered
17,14,Alperen Şengün,HOU,70,32.0,42.8,2993,54,45,37,15.8,5.0,+0.6,recovered
18,115,Anthony Davis,WAS,44,28.0,42.5,1870,22,99,4,15.0,3.7,+0.6,recovered
19,63,Josh Giddey,CHI,54,31.5,42.2,2276,184,229,165,10.2,4.1,-1.7,recovered
20,59,Trae Young,WAS,55,32.0,42.1,2316,33,69,13,14.3,8.1,-1.8,recovered
