team,title,path,gp,mpg,fg_pct,fga,ft_pct,fta,three_pm,pts,reb,ast,stl,blk,tov,nine_cat_z,nine_cat_rank,nine_cat_total_z,nine_cat_total_rank,points_score,points_model_rank
ATL,Aaron Wiggins,Players/ATL/Aaron Wiggins,70.0,16.0,0.455,,0.77,,1.1,7.5,2.5,1.3,0.7,0.3,0.8,-4.28686414132015,236,-3.9607899736030703,238,15.2,243
ATL,Asa Newell,Players/ATL/Asa Newell,52.0,4.0,0.525,,0.62,,0.2,2.2,1.1,0.3,0.2,0.2,0.2,,,,,,
ATL,Buddy Hield,Players/ATL/Buddy Hield,45.0,11.0,0.43,,0.82,,1.3,6.1,1.8,1.0,0.4,0.1,0.7,,,,,,
ATL,CJ McCollum,Players/ATL/CJ McCollum,70.0,29.0,0.45,,0.8,,2.5,17.8,3.1,4.3,0.8,0.4,1.8,0.19370652605971353,114,0.17897251719354107,113,31.019999999999992,92
ATL,Corey Kispert,Players/ATL/Corey Kispert,50.0,10.0,0.46,,0.82,,0.8,4.8,1.3,0.8,0.2,0.1,0.4,,,,,,
ATL,Devin Carter,Players/ATL/Devin Carter,58.0,7.0,0.41,,0.72,,0.3,3.4,1.4,1.1,0.4,0.1,0.6,,,,,,
ATL,Dyson Daniels,Players/ATL/Dyson Daniels,74.0,32.0,0.515,,0.64,,0.4,12.0,6.5,5.8,2.0,0.5,1.8,2.2987583960955003,65,2.1837467023104566,63,34.400000000000006,74
ATL,Henri Veesaar,Players/ATL/Henri Veesaar,26.0,7.0,0.54,,0.75,,0.4,4.0,2.2,0.5,0.2,0.4,0.4,,,,,,
ATL,Jacob Toppin,Players/ATL/Jacob Toppin,12.0,6.0,0.48,,0.72,,0.1,2.4,1.3,0.3,0.2,0.2,0.3,,,,,,
ATL,Jalen Johnson,Players/ATL/Jalen Johnson,68.0,35.0,0.49,,0.79,,1.7,22.8,10.2,7.7,1.2,0.5,3.3,5.342053938641374,22,4.864697041763964,21,49.24000000000001,8
