corrected_rank,old_rank,delta,player,team,gp,mpg,fg_pct,fga_proj,ft_pct,fta_proj,volume_source,z,corrected_total_rank,corrected_points_rank,old_points_rank
1,2,1,Victor Wembanyama,SAS,68.0,31.0,0.515,17.8,0.83,7.4,recovered,14.338,1,3,3
2,1,-1,Nikola Jokić,DEN,66.0,35.0,0.57,17.1,0.83,7.1,stated,13.745,3,1,1
3,3,0,Shai Gilgeous-Alexander,OKC,70.0,33.0,0.55,19.6,0.88,8.8,stated,12.457,2,4,5
4,5,1,Kawhi Leonard,LAC,60.0,32.0,0.5,17.8,0.885,6.4,recovered,9.363,8,12,13
5,4,-1,Luka Dončić,LAL,66.0,34.0,0.48,21.8,0.79,9.0,stated,9.348,4,2,2
6,6,0,Tyrese Maxey,PHI,68.0,34.0,0.465,19.5,0.89,5.4,recovered,8.024,5,10,11
7,8,1,Jayson Tatum,BOS,65.0,34.0,0.457,21.4,0.852,5.1,recovered,6.942,16,7,7
8,7,-1,Walker Kessler,LAL,65.0,30.0,0.675,7.8,0.7,3.0,stated,6.793,12,37,41
9,9,0,Cooper Flagg,DAL,72.0,36.0,0.485,19.2,0.83,5.7,stated,6.785,7,8,9
10,16,6,Lauri Markkanen,UTA,55.0,32.0,0.48,16.0,0.89,6.0,recovered,6.598,38,35,34
11,13,2,Cade Cunningham,DET,66.0,34.0,0.462,18.9,0.825,6.0,recovered,6.585,18,6,6
12,18,6,Scottie Barnes,TOR,74.0,34.0,0.501,16.0,0.795,3.8,recovered,6.444,6,9,12
13,17,4,Anthony Edwards,MIN,68.0,35.0,0.48,19.1,0.81,7.2,recovered,6.412,13,11,10
14,12,-2,Tyrese Haliburton,IND,66.0,32.0,0.472,13.9,0.854,3.2,estimated,6.322,21,23,26
15,15,0,Donovan Mitchell,CLE,70.0,33.0,0.47,19.6,0.86,6.0,recovered,6.287,10,15,14
16,14,-2,Jamal Murray,DEN,66.0,35.0,0.475,17.6,0.88,5.0,stated,6.230,19,19,18
17,11,-6,Stephen Curry,GSW,58.0,30.5,0.462,17.8,0.92,5.0,recovered,6.209,33,29,28
18,20,2,Chet Holmgren,OKC,67.0,29.0,0.55,11.6,0.8,4.3,stated,6.104,17,40,44
19,23,4,Karl-Anthony Towns,NYK,68.0,31.0,0.51,13.7,0.85,5.5,recovered,6.068,15,20,23
20,10,-10,Trey Murphy III,NOP,62.0,33.0,0.47,15.3,0.885,3.4,recovered,5.731,31,52,39
21,19,-2,Austin Reaves,LAL,67.0,34.0,0.485,15.5,0.87,7.0,stated,5.729,23,22,25
22,26,4,Anthony Davis,WAS,44.0,28.0,0.52,15.0,0.755,3.7,recovered,5.723,99,17,22
23,30,7,Joel Embiid,PHI,40.0,31.0,0.5,16.0,0.855,8.6,recovered,5.677,116,14,16
24,27,3,Derrick White,BOS,76.0,34.0,0.421,14.1,0.895,2.6,recovered,5.346,9,51,66
25,47,22,Kel'el Ware,MIL,74.0,28.0,0.535,9.0,0.74,1.6,stated,4.836,14,60,98
26,24,-2,LaMelo Ball,MIN,64.0,31.0,0.42,15.3,0.89,2.8,recovered,4.636,37,31,29
27,34,7,Evan Mobley,CLE,68.0,34.0,0.548,13.5,0.68,4.9,recovered,4.629,28,16,20
28,32,4,Kevin Durant,HOU,66.0,31.0,0.515,15.8,0.875,5.1,recovered,4.601,30,44,45
29,29,0,Kyrie Irving,DAL,55.0,31.0,0.485,16.5,0.9,4.0,stated,4.518,62,56,54
30,28,-2,Jalen Duren,DET,68.0,29.5,0.66,10.6,0.755,6.4,recovered,4.486,29,36,43
31,71,40,Desmond Bane,ORL,78.0,33.0,0.485,14.1,0.9,3.6,stated,4.469,11,67,64
32,25,-7,Brandon Miller,CHA,50.0,32.5,0.445,18.7,0.89,3.6,recovered,4.368,92,32,31
33,55,22,Trae Young,WAS,55.0,32.0,0.438,14.3,0.875,8.1,recovered,4.182,69,21,24
34,39,5,Bam Adebayo,MIA,72.0,34.0,0.49,12.6,0.79,6.1,recovered,4.159,26,27,35
35,38,3,OG Anunoby,NYK,64.0,33.0,0.482,12.0,0.825,3.3,recovered,4.090,44,81,83
36,35,-1,Michael Porter Jr,BKN,65.0,32.0,0.462,17.2,0.856,4.3,recovered,3.946,41,45,42
37,42,5,Amen Thompson,HOU,76.0,33.0,0.545,13.2,0.765,4.3,recovered,3.936,24,33,40
38,40,2,Kristaps Porziņģis,GSW,48.0,25.5,0.452,12.7,0.85,5.2,recovered,3.932,108,66,70
39,36,-3,Payton Pritchard,BOS,78.0,32.0,0.468,17.5,0.889,1.7,recovered,3.887,20,42,60
40,50,10,James Harden,CLE,64.0,31.0,0.43,14.4,0.875,6.7,recovered,3.792,47,34,36
41,46,5,Donovan Clingan,POR,72.0,29.0,0.53,9.5,0.69,2.8,recovered,3.779,27,55,61
42,62,20,Tyler Herro,MIL,55.0,31.0,0.466,16.7,0.89,4.0,stated,3.774,75,46,67
43,33,-10,Kon Knueppel,CHA,78.0,33.5,0.468,16.1,0.868,3.0,recovered,3.764,22,54,48
44,76,32,Ryan Rollins,MIL,70.0,32.0,0.47,13.2,0.8,2.4,stated,3.667,35,48,78
45,41,-4,Jalen Brunson,NYK,70.0,34.0,0.472,19.2,0.845,5.5,recovered,3.503,34,24,27
46,45,-1,Jalen Williams,OKC,58.0,30.0,0.5,14.4,0.84,4.0,stated,3.502,71,57,62
47,44,-3,Jaren Jackson Jr,UTA,63.0,31.0,0.475,14.5,0.8,4.3,recovered,3.472,55,61,63
48,56,8,Alex Sarr,WAS,57.0,28.0,0.488,13.4,0.715,3.1,recovered,3.472,73,47,50
49,49,0,Cameron Boozer,MEM,72.0,32.0,0.51,14.0,0.79,4.6,stated,3.460,32,38,55
50,66,16,Keyonte George,UTA,68.0,32.0,0.45,13.5,0.88,6.8,recovered,3.446,40,59,57
51,43,-8,Mikal Bridges,NYK,80.0,32.0,0.49,11.8,0.825,1.2,recovered,2.957,25,95,99
52,68,16,Domantas Sabonis,SAC,62.0,30.0,0.568,11.7,0.75,4.1,recovered,2.862,64,25,33
53,58,5,Dejounte Murray,NOP,55.0,30.0,0.465,13.7,0.835,3.5,recovered,2.844,101,53,56
54,72,18,Alperen Şengün,HOU,70.0,32.0,0.52,15.8,0.705,5.0,recovered,2.821,45,13,19
55,67,12,Naz Reid,CHA,73.0,31.0,0.466,14.2,0.755,1.9,recovered,2.816,36,65,68
56,69,13,Jaden McDaniels,MIN,70.0,33.0,0.505,11.7,0.82,2.5,recovered,2.815,43,91,109
57,51,-6,Immanuel Quickley,TOR,63.0,32.0,0.443,13.4,0.835,3.0,recovered,2.805,65,68,73
58,48,-10,Paul George,BOS,55.0,27.0,0.445,13.4,0.87,2.6,recovered,2.712,104,79,82
59,77,18,Deni Avdija,POR,70.0,33.0,0.468,13.0,0.805,9.1,recovered,2.704,46,26,30
60,60,0,Keegan Murray,SAC,68.0,32.0,0.445,13.1,0.808,1.9,recovered,2.678,54,82,84
61,73,12,De'Aaron Fox,SAS,70.0,30.0,0.48,15.8,0.78,3.3,recovered,2.575,51,49,51
62,74,12,Ausar Thompson,DET,71.0,29.0,0.53,8.7,0.61,2.9,recovered,2.566,53,78,86
63,21,-42,Giannis Antetokounmpo,MIA,60.0,32.0,0.605,15.4,0.665,11.0,recovered,2.507,85,5,4
64,53,-11,Zach Edey,MEM,48.0,26.0,0.61,8.8,0.735,2.8,stated,2.492,128,72,80
65,93,28,Ivica Zubac,IND,66.0,30.0,0.615,10.4,0.69,3.0,recovered,2.325,58,63,71
66,61,-5,Jarrett Allen,CLE,67.0,29.0,0.655,8.2,0.7,5.0,recovered,2.320,57,73,81
67,84,17,John Collins,DET,67.0,28.0,0.555,10.6,0.79,2.3,recovered,2.259,56,96,106
68,119,51,Collin Murray-Boyles,TOR,72.0,29.0,0.553,9.2,0.68,2.5,recovered,2.258,50,87,138
69,83,14,Jaylen Brown,PHI,67.0,34.0,0.48,17.0,0.795,7.4,recovered,2.217,61,28,32
70,70,0,VJ Edgecombe,PHI,72.0,32.0,0.45,12.4,0.82,2.2,recovered,2.193,52,85,87
71,54,-17,Reed Sheppard,HOU,78.0,25.0,0.435,12.0,0.815,1.0,recovered,2.094,39,109,104
72,94,22,Franz Wagner,ORL,58.0,30.0,0.485,13.9,0.83,5.4,stated,2.051,98,71,52
73,87,14,Coby White,CHA,60.0,31.5,0.445,15.0,0.84,6.0,recovered,2.025,91,62,58
74,80,6,Cason Wallace,OKC,76.0,27.0,0.44,7.7,0.815,1.2,stated,1.914,49,144,160
75,86,11,Andrew Wiggins,MIA,68.0,31.0,0.48,11.7,0.79,2.5,recovered,1.896,63,101,108
76,92,16,Pascal Siakam,IND,68.0,32.0,0.505,15.2,0.735,5.9,recovered,1.820,67,43,47
77,90,13,Brandon Ingram,TOR,67.0,33.0,0.474,16.7,0.82,4.5,recovered,1.753,68,58,59
78,88,10,Brandin Podziemski,GSW,76.0,32.0,0.452,12.4,0.802,3.3,recovered,1.744,48,76,79
79,75,-4,Darius Garland,LAC,62.0,32.0,0.455,15.7,0.865,2.9,recovered,1.652,93,64,65
80,91,11,Zion Williamson,NOP,60.0,31.0,0.59,14.2,0.715,7.8,recovered,1.461,107,30,49
81,59,-22,Jalen Suggs,ORL,60.0,26.0,0.435,9.9,0.85,1.8,stated,1.440,109,108,85
82,85,3,Daniel Gafford,DAL,68.0,24.0,0.66,6.4,0.69,2.7,stated,1.431,70,118,136
83,110,27,Jimmy Butler III,GSW,30.0,27.5,0.48,10.7,0.835,6.7,recovered,1.376,247,86,95
84,95,11,Cedric Coward,MEM,70.0,30.0,0.47,12.0,0.845,3.2,stated,1.355,66,88,93
85,89,4,Paolo Banchero,ORL,68.0,34.0,0.465,16.1,0.775,8.5,stated,1.342,74,18,15
86,113,27,Derik Queen,NOP,80.0,28.0,0.48,10.3,0.79,3.8,recovered,1.309,42,74,91
87,128,41,Myles Turner,MIL,65.0,25.0,0.45,8.8,0.76,2.3,stated,1.159,87,121,144
88,78,-10,Ty Jerome,MEM,45.0,22.0,0.475,11.8,0.875,3.0,stated,1.143,179,113,101
89,82,-7,Ayo Dosunmu,MIN,68.0,31.0,0.49,10.8,0.855,2.4,recovered,1.104,79,116,124
90,136,46,Jabari Smith Jr,HOU,74.0,32.0,0.45,11.9,0.78,2.5,recovered,1.089,60,97,133
91,96,5,Kyshawn George,WAS,68.0,28.0,0.445,11.2,0.805,2.6,recovered,1.045,82,94,102
92,112,20,Isaiah Hartenstein,OKC,58.0,23.0,0.62,6.0,0.65,2.2,stated,0.865,125,100,119
93,81,-12,Damian Lillard,POR,52.0,29.0,0.43,16.9,0.895,2.9,estimated,0.829,151,69,72
94,104,10,Yaxel Lendeborg,GSW,73.0,25.5,0.468,8.1,0.78,2.5,estimated,0.817,72,125,135
95,98,3,Devin Vassell,SAS,68.0,28.0,0.445,12.0,0.82,1.7,recovered,0.789,89,122,128
96,166,70,Robert Williams III,POR,52.0,17.0,0.7,4.4,0.62,1.0,recovered,0.690,149,156,190
97,106,9,Keon Ellis,BKN,72.0,23.0,0.47,7.0,0.81,1.1,recovered,0.654,78,170,176
98,105,7,Stephon Castle,SAS,72.0,30.0,0.47,12.7,0.75,5.6,recovered,0.638,81,50,53
99,126,27,Julian Champagnie,SAS,78.0,27.0,0.44,8.7,0.85,1.6,recovered,0.622,59,145,167
100,115,15,Day'Ron Sharpe,BKN,60.0,25.0,0.595,7.8,0.7,3.3,recovered,0.542,123,98,111
101,100,-1,Herb Jones,NOP,68.0,26.0,0.42,7.6,0.8,1.0,recovered,0.537,103,161,163
102,118,16,Julius Randle,BKN,70.0,31.0,0.472,14.5,0.78,5.9,recovered,0.533,86,41,46
103,120,17,Quentin Grimes,LAL,72.0,30.0,0.45,10.4,0.845,3.0,stated,0.527,80,128,132
104,138,34,Saddiq Bey,NOP,70.0,27.0,0.45,11.7,0.84,3.5,recovered,0.469,90,115,143
105,103,-2,Zach LaVine,SAC,62.0,30.0,0.474,13.7,0.871,3.4,recovered,0.468,113,112,123
106,122,16,Ace Bailey,UTA,74.0,29.0,0.45,14.9,0.77,1.3,recovered,0.353,77,93,100
107,121,14,Ajay Mitchell,OKC,55.0,24.0,0.485,9.7,0.865,2.5,stated,0.332,147,137,153
108,123,15,Josh Hart,NYK,68.0,26.0,0.505,7.9,0.73,1.6,recovered,0.322,102,117,112
109,102,-7,Fred VanVleet,HOU,62.0,26.0,0.39,10.0,0.815,2.6,estimated,0.303,126,119,117
110,127,17,Moussa Diabaté,CHA,72.0,24.5,0.63,5.3,0.665,2.3,recovered,0.291,84,131,146
111,134,23,Toumani Camara,POR,76.0,31.0,0.445,10.0,0.72,1.6,recovered,0.287,76,130,137
112,108,-4,Dereck Lively II,DAL,38.0,20.0,0.65,5.0,0.7,1.8,stated,0.283,226,141,162
113,125,12,Aaron Gordon,DEN,55.0,30.0,0.505,10.3,0.76,4.1,stated,0.222,152,105,113
114,137,23,Caleb Wilson,CHI,70.0,29.0,0.48,12.0,0.715,2.9,estimated,0.197,97,80,90
115,158,43,Jrue Holiday,POR,62.0,23.0,0.455,9.7,0.83,1.6,recovered,0.171,127,127,164
116,133,17,Ja Morant,POR,50.0,31.0,0.455,17.0,0.79,6.4,recovered,0.090,184,39,38
117,116,-1,Cameron Johnson,DEN,58.0,29.0,0.475,9.4,0.84,2.2,stated,0.089,141,157,156
118,99,-19,Rudy Gobert,MIN,69.0,30.0,0.67,6.2,0.53,3.8,recovered,0.085,105,77,103
119,132,13,AJ Dybantsa,WAS,74.0,32.0,0.461,16.2,0.782,3.2,estimated,0.047,88,70,77
120,124,4,Darryn Peterson,UTA,72.0,29.0,0.445,13.8,0.83,2.9,estimated,-0.002,96,99,105
121,145,24,PJ Washington,DAL,66.0,28.0,0.445,10.8,0.72,2.6,stated,-0.009,114,106,114
122,144,22,Dylan Harper,SAS,72.0,27.0,0.5,11.8,0.77,2.0,recovered,-0.045,95,104,115
123,153,30,Jakob Poeltl,TOR,55.0,24.0,0.665,6.7,0.61,2.0,recovered,-0.060,157,134,150
124,63,-61,Mark Williams,PHX,48.0,19.3,0.637,8.0,0.691,2.7,stated,-0.091,192,158,120
125,107,-18,Neemias Queta,BOS,72.0,21.0,0.65,5.3,0.71,1.9,recovered,-0.136,94,154,154
126,162,36,Shaedon Sharpe,POR,64.0,29.0,0.45,15.6,0.8,3.8,recovered,-0.167,129,89,131
127,142,15,Andrew Nembhard,IND,66.0,30.0,0.462,10.0,0.825,3.9,recovered,-0.168,117,110,126
128,97,-31,De'Anthony Melton,GSW,62.0,24.0,0.418,8.9,0.82,2.6,recovered,-0.259,140,152,130
