player,pos,csv_team,nfl_team,age,years_exp,draft_year,draft_overall,draft_club,college,g_2023,g_2024,g_2025,games_played_3yr,games_possible_3yr,games_missed_3yr,seasons_unmatched,avail,avail_basis,inj_weeks_out_3yr,inj_weeks_qd_3yr,missed_off_injury_report,inj_parts_3yr,snap_pct_2025,carries_2025,targets_2025,receptions_2025,tgt_share_2025,rush_yards_2025,rec_yards_2025,pass_yards_2025,contract_value,contract_apy,contract_gtd,contract_free_agent,source
A.J. Brown,WR,NE,NE,29.2,7,2019,51,TEN,Mississippi,17,13,15,45,51,6,,0.874,history,2,3,4,Hamstring (4); Knee (1),91.2,0,121,78,26.1,0,1003,0,"$96,000,000","$32,000,000","$84,000,000",2030 Void,nflverse 2026-07-25
AJ Barner,TE,SEA,SEA,24.4,2,2024,121,SEA,Michigan; Indiana,,15,17,32,34,2,,0.907,history,0,1,2,Calf (1),79.0,10,68,52,14.9,14,519,0,"$4,775,108","$1,193,777","$755,108",2028 UFA,nflverse 2026-07-25
Aaron Jones,RB,MIN,MIN,31.8,9,2017,182,GB,Texas-El Paso,11,17,12,40,51,11,,0.794,history,3,10,8,Hamstring (6); Knee (4); Shoulder (1),55.1,132,41,28,8.8,548,199,0,"$5,560,000","$5,560,000","$5,000,000",2027 UFA,nflverse 2026-07-25
Aaron Rodgers,QB,PIT,PIT,42.8,21,2005,24,GB,California; Butte College,1,17,16,34,51,17,,0.701,history,6,1,11,Achilles (6); Wrist (1),95.3,21,1,1,0.2,61,-9,3322,"$22,500,000","$22,500,000","$22,000,000",2027 UFA,nflverse 2026-07-25
Adonai Mitchell,WR,NYJ,NYJ,23.9,2,2024,52,IND,Texas; Georgia,,17,16,33,34,1,,0.93,history,0,0,1,,50.6,1,74,33,14.0,-4,453,0,"$7,386,086","$1,846,522","$4,817,431",2028 UFA,nflverse 2026-07-25
Alec Pierce,WR,IND,IND,26.4,4,2022,53,IND,Cincinnati,17,16,15,48,51,3,,0.918,history,3,4,0,Concussion (3); Shoulder (2); Ankle (1),85.9,0,84,47,15.8,0,1003,0,"$114,000,000","$28,500,000","$84,000,000",2030 Void,nflverse 2026-07-25
Alvin Kamara,RB,NO,NO,31.1,9,2017,67,NO,Tennessee; Hutchinson CC; Alabama,13,14,11,38,51,13,,0.765,history,8,8,5,Knee (6); Ankle (5); Groin (3),63.7,131,39,33,6.9,471,186,0,"$24,500,000","$12,250,000","$22,233,333",2027 Void,nflverse 2026-07-25
Amon-Ra St. Brown,WR,DET,DET,26.9,5,2021,112,DET,USC,16,17,17,50,51,1,,0.947,history,0,7,1,Knee (3); Toe (1); Abdomen (1),85.2,3,172,117,31.3,9,1401,0,"$120,010,000","$30,002,500","$77,000,000",2029 Void,nflverse 2026-07-25
Ashton Jeanty,RB,LV,LV,22.8,1,2025,6,LV,Boise State,,,17,17,17,0,,0.912,history,0,0,0,,77.9,266,73,55,14.8,975,346,0,"$35,895,812","$8,973,953","$35,895,812",2029 UFA,nflverse 2026-07-25
Baker Mayfield,QB,TB,TB,31.4,8,2018,1,CLE,Oklahoma; Texas Tech,17,17,17,51,51,0,,0.951,history,0,4,0,Knee (1); Ribs (1); Biceps (1),97.1,55,0,0,,382,0,3693,"$100,000,000","$33,333,333","$50,000,000",2027 Void,nflverse 2026-07-25
