player,team,pos,bye,adp,adp_source,proj_points,games,archetype,risk,note
Bijan Robinson,ATL,RB,11,2.0,ffcalc-ppr-10tm-2026-08-02,366.9,17,three-down bell cow,med,three-down bell cow; 280 carries + 84 catches projected; status 2026-08-02: current participation unresolved during extension talks; Brian Robinson is complementary/short-yardage competition [source: https://www.atlantafalcons.com/news/falcons-2026-training-camp-preview-running-backs]
Jahmyr Gibbs,DET,RB,6,1.6,ffcalc-ppr-10tm-2026-08-02,367.4,17,three-down bell cow,med,three-down bell cow; 279 carries + 72 catches projected; status 2026-08-02: present but not practicing in hold-in; team describes a back issue; no PUP/IR [source: https://www.nfl.com/news/what-we-learned-back-together-weekend-sunday-2026-training-camp]
Puka Nacua,LAR,WR,11,2.7,ffcalc-ppr-10tm-2026-08-02,339.3,17,alpha X,low,alpha X; 116 catches for 1561 yards projected
Ja'Marr Chase,CIN,WR,6,4.1,ffcalc-ppr-10tm-2026-08-02,330.5,17,alpha X,med,alpha X; 116 catches for 1474 yards projected; status 2026-08-02: attendance verified; full participation not independently verified [source: https://www.bengals.com/news/five-observations-day-4-bengals-training-camp-august-1-2026]
Christian McCaffrey,SF,RB,8,5.0,ffcalc-ppr-10tm-2026-08-02,345.9,17,reduced-workload gate,med,three-down bell cow; 279 carries + 82 catches projected; status 2026-08-02: team plans a reduced 2026 workload with younger backs receiving opportunity [source: https://new.cbssports.com/nfl/news/kyle-shanahan-christian-mccaffreys-workload-in-2026-49ers-no-2-rb-role/]
Jaxon Smith-Njigba,SEA,WR,11,6.2,ffcalc-ppr-10tm-2026-08-02,308.1,17,alpha X,low,alpha X; 105 catches for 1521 yards projected
Amon-Ra St. Brown,DET,WR,6,7.5,ffcalc-ppr-10tm-2026-08-02,318.1,17,alpha X,low,alpha X; 119 catches for 1377 yards projected
Jonathan Taylor,IND,RB,13,7.3,ffcalc-ppr-10tm-2026-08-02,286.5,17,three-down bell cow,low,three-down bell cow; 299 carries + 36 catches projected
De'Von Achane,MIA,RB,6,9.6,ffcalc-ppr-10tm-2026-08-02,267.2,17,early-down committee back,low,early-down committee back; 228 carries + 56 catches projected
CeeDee Lamb,DAL,WR,14,11.6,ffcalc-ppr-10tm-2026-08-02,252.7,17,alpha X,low,alpha X; 87 catches for 1177 yards projected
Justin Jefferson,MIN,WR,6,13.3,ffcalc-ppr-10tm-2026-08-02,265.8,17,alpha X,low,alpha X; 95 catches for 1288 yards projected
Ashton Jeanty,LV,RB,13,13.2,ffcalc-ppr-10tm-2026-08-02,264.3,17,three-down bell cow,low,three-down bell cow; 271 carries + 56 catches projected
Drake London,ATL,WR,11,10.7,ffcalc-ppr-10tm-2026-08-02,272.2,17,alpha X,low,alpha X; 99 catches for 1312 yards projected
James Cook,BUF,RB,7,14.5,ffcalc-ppr-10tm-2026-08-02,275.2,17,three-down bell cow,low,three-down bell cow; 275 carries + 32 catches projected
A.J. Brown,NE,WR,11,17.0,ffcalc-ppr-10tm-2026-08-02,243.5,17,primary NE WR,low,alpha X; 86 catches for 1155 yards projected; status 2026-08-02: active primary WR with improving Maye connection [source: https://www.patriots.com/news/day-6-blogservations-drake-maye-lights-up-training-camp]
Derrick Henry,BAL,RB,13,15.6,ffcalc-ppr-10tm-2026-08-02,259.6,17,goal-line back,low,goal-line back; 321 carries + 16 catches projected
Chase Brown,CIN,RB,6,13.7,ffcalc-ppr-10tm-2026-08-02,262.1,17,three-down bell cow,low,three-down bell cow; 242 carries + 57 catches projected
Omarion Hampton,LAC,RB,7,19.4,ffcalc-ppr-10tm-2026-08-02,267.5,17,three-down bell cow,low,three-down bell cow; 257 carries + 52 catches projected
George Pickens,DAL,WR,14,21.2,ffcalc-ppr-10tm-2026-08-02,226.2,17,field-stretching Z,med,field-stretching Z; 74 catches for 1102 yards projected
Saquon Barkley,PHI,RB,10,18.2,ffcalc-ppr-10tm-2026-08-02,262.3,17,three-down bell cow,low,three-down bell cow; 281 carries + 42 catches projected; status 2026-08-02: A.J. Brown is with NE; PHI target allocation is unresolved under a new offense [source: https://www.philadelphiaeagles.com/news/eagles-trade-aj-brown-to-the-patriots]
Chris Olave,NO,WR,8,21.7,ffcalc-ppr-10tm-2026-08-02,247.0,17,alpha WR,low,alpha X; 94 catches for 1110 yards projected; status 2026-08-02: active alpha WR in the Shough-led offense [source: https://www.neworleanssaints.com/news/what-to-watch-for-at-new-orleans-saints-training-camp-2026]
Kenneth Walker,KC,RB,5,26.0,ffcalc-ppr-10tm-2026-08-02,257.9,17,unverified workload gate,med,three-down bell cow; 262 carries + 42 catches projected; status 2026-08-02: participated in mandatory-minicamp 11-on-11; current workload remains unverified [source: https://www.chiefs.com/news/chiefs-wrap-up-mandatory-minicamp-at-the-team-facility]
Jeremiyah Love,ARI,RB,14,24.2,ffcalc-ppr-10tm-2026-08-02,259.9,17,three-down bell cow,med,three-down bell cow; 246 carries + 56 catches projected
Nico Collins,HOU,WR,8,23.7,ffcalc-ppr-10tm-2026-08-02,239.6,17,field-stretching Z,low,field-stretching Z; 79 catches for 1186 yards projected
